epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1615.07,2.02288,1.25946,0.94205,0.63177,0.59851,0.58177,0.1925,2.38952,1.36052,0.93178,0.0011882,0.0011882,0.0011882
43,1655.95,1.97327,1.21708,0.91914,0.61977,0.66047,0.59876,0.20713,2.24714,1.45054,0.92132,0.0011684,0.0011684,0.0011684
44,1693.5,1.96467,1.22318,0.92172,0.61969,0.5997,0.55501,0.18943,2.36412,1.37555,0.93516,0.0011486,0.0011486,0.0011486
45,1727.84,1.99367,1.2205,0.92923,0.62511,0.63569,0.58308,0.20325,2.30037,1.50493,0.92144,0.0011288,0.0011288,0.0011288
46,1760.25,1.98444,1.16535,0.922,0.64529,0.64923,0.6231,0.24703,2.10263,1.36383,0.89873,0.001109,0.001109,0.001109
47,1792.17,1.93043,1.17153,0.91407,0.72229,0.64312,0.65421,0.24216,2.12929,1.2319,0.90305,0.0010892,0.0010892,0.0010892
48,1827.17,1.9313,1.18386,0.91533,0.66171,0.62082,0.59508,0.21544,2.28194,1.4317,0.92501,0.0010694,0.0010694,0.0010694
49,1866.81,1.90591,1.18202,0.9129,0.62071,0.60837,0.57579,0.21435,2.30818,1.64154,0.92501,0.0010496,0.0010496,0.0010496
50,1900.24,1.93378,1.18253,0.91337,0.66753,0.5948,0.6235,0.23967,2.20821,1.42103,0.90925,0.0010298,0.0010298,0.0010298
51,1934.18,1.89983,1.1366,0.9096,0.60289,0.65056,0.60564,0.2131,2.26867,1.39162,0.91909,0.00101,0.00101,0.00101
52,1967.58,1.92692,1.16406,0.92259,0.65945,0.66543,0.63163,0.2631,2.05165,1.32271,0.89484,0.0009902,0.0009902,0.0009902
53,2000.05,1.91215,1.16011,0.91274,0.67539,0.65799,0.63512,0.23437,2.13132,1.32398,0.89931,0.0009704,0.0009704,0.0009704
54,2038.34,1.90047,1.12481,0.91314,0.70351,0.65799,0.65924,0.24383,2.17961,1.32356,0.90377,0.0009506,0.0009506,0.0009506
55,2074.7,1.90734,1.18028,0.91104,0.66066,0.66587,0.64289,0.25084,2.04557,1.2827,0.88531,0.0009308,0.0009308,0.0009308
56,2109.18,1.89986,1.16588,0.91535,0.61172,0.63197,0.61639,0.23372,2.11545,1.31787,0.90371,0.000911,0.000911,0.000911
57,2143.53,1.85056,1.12206,0.91026,0.68003,0.63997,0.64729,0.27025,2.05195,1.181,0.89482,0.0008912,0.0008912,0.0008912
58,2179.15,1.88327,1.12906,0.90673,0.67646,0.6171,0.64388,0.25878,2.08856,1.3144,0.89807,0.0008714,0.0008714,0.0008714
59,2213.35,1.86974,1.1274,0.91053,0.66571,0.61447,0.63454,0.24364,2.16745,1.34002,0.90281,0.0008516,0.0008516,0.0008516
60,2247.41,1.8783,1.1446,0.90527,0.68439,0.6449,0.62196,0.23527,2.14798,1.33489,0.89549,0.0008318,0.0008318,0.0008318
61,2282.6,1.83618,1.12295,0.90918,0.66008,0.65691,0.63198,0.25455,2.02939,1.39694,0.8889,0.000812,0.000812,0.000812
62,2317.03,1.84636,1.09164,0.89402,0.69666,0.65428,0.65136,0.2739,2.03332,1.21221,0.89882,0.0007922,0.0007922,0.0007922
63,2357.35,1.86859,1.11147,0.89553,0.65757,0.66389,0.64469,0.264,2.02037,1.27221,0.88741,0.0007724,0.0007724,0.0007724
64,2392.52,1.81596,1.06009,0.89733,0.67298,0.67322,0.6543,0.28043,1.97348,1.17161,0.88105,0.0007526,0.0007526,0.0007526
65,2427.7,1.82767,1.06889,0.89851,0.72853,0.6171,0.6609,0.27463,1.96682,1.23565,0.88771,0.0007328,0.0007328,0.0007328
66,2460.68,1.84502,1.08171,0.90869,0.68465,0.66988,0.67715,0.27887,1.99725,1.19985,0.88375,0.000713,0.000713,0.000713
67,2492.57,1.85752,1.10422,0.90781,0.73711,0.61497,0.65103,0.26684,2.01723,1.2154,0.8929,0.0006932,0.0006932,0.0006932
68,2528.66,1.79336,1.04917,0.89463,0.74475,0.61827,0.66085,0.26788,1.98724,1.14859,0.88551,0.0006734,0.0006734,0.0006734
69,2565.62,1.80544,1.09066,0.90195,0.71899,0.66914,0.68225,0.28706,1.96409,1.14899,0.87675,0.0006536,0.0006536,0.0006536
70,2601.25,1.80451,1.03779,0.89885,0.72714,0.68773,0.6948,0.28453,2.0308,1.14827,0.88856,0.0006338,0.0006338,0.0006338
71,2637.62,1.79006,1.033,0.89714,0.68125,0.69517,0.67106,0.27568,1.95613,1.25112,0.8842,0.000614,0.000614,0.000614
